"orf","gene.x","Anno1","Growth1","gene.y","Anno2","Growth2","name.check","essenflag","geneNO","essenflagNumeric"
"YBR049C","REB1","verified1","nogrowth1","REB1","verified2","nogrowth2","TRUE","essential",42,1
"YBR050C","REG2","verified1","growth1","REG2","verified2","growth2","TRUE","nonessential",1358,0
"YBR051W","YBR051W","verified1","growth1","YBR051W","verified2","growth2","TRUE","nonessential",1359,0
"YBR052C","YBR052C","verified1","growth1","YBR052C","verified2","growth2","TRUE","nonessential",1360,0
"YBR053C","YBR053C","verified1","growth1","YBR053C","verified2","growth2","TRUE","nonessential",1361,0
"YBR054W","YRO2","verified1","growth1","YRO2","verified2","growth2","TRUE","nonessential",1362,0
"YBR055C","prp6","verified1","nogrowth1","prp6","verified2","nogrowth2","TRUE","essential",43,1
"YBR056W","YBR056W","verified1","growth1","YBR056W","verified2","growth2","TRUE","nonessential",1363,0
"YBR057C","MUM2","verified1","growth1","MUM2","verified2","growth2","TRUE","nonessential",1364,0
"YBR058C","UBP14","verified1","growth1","UBP14","verified2","growth2","TRUE","nonessential",1365,0
"YBR059C","AKL1","verified1","growth1","AKL1","verified2","growth2","TRUE","nonessential",1366,0
"YBR060C","ORC2","verified1","nogrowth1","ORC2","verified2","nogrowth2","TRUE","essential",44,1
"YBR061C","YBR061C","verified1","nogrowth1","YBR061C","verified2","nogrowth2","TRUE","essential",45,1
"YBR062C","YBR062C","verified1","growth1","YBR062C","verified2","growth2","TRUE","nonessential",1367,0
"YBR063C","YBR063C","verified1","growth1","YBR063C","verified2","growth2","TRUE","nonessential",1368,0
"YBR064W","YBR064W","verified1","growth1","YBR064W","verified2","growth2","TRUE","nonessential",1369,0
"YBR065C","ECM2","verified1","growth1","ECM2","verified2","growth2","TRUE","nonessential",1370,0
"YBR066C","nrg2","verified1","growth1","nrg2","verified2","growth2","TRUE","nonessential",1371,0
"YBR067C","TIP1","verified1","growth1","TIP1","verified2","growth2","TRUE","nonessential",1372,0
"YBR068C","BAP2","verified1","growth1","BAP2","verified2","growth2","TRUE","nonessential",1373,0
"YBR069C","TAT1","verified1","growth1","TAT1","verified2","growth2","TRUE","nonessential",1374,0
"YBR070C","YBR070C","verified1","nogrowth1","YBR070C","verified2","nogrowth2","TRUE","essential",46,1
"YBR071W","YBR071W","verified1","growth1","YBR071W","verified2","growth2","TRUE","nonessential",1375,0
"YBR072W","HSP26","verified1","growth1","HSP26","verified2","growth2","TRUE","nonessential",1376,0
"YBR073W","RDH54","verified1","growth1","RDH54","verified2","growth2","TRUE","nonessential",1377,0
"YBR074W","YBR074W","verified1","growth1","YBR074W","verified2","growth2","TRUE","nonessential",1378,0
"YBR075W","YBR075W","verified1","growth1","YBR075W","verified2","growth2","TRUE","nonessential",1379,0
"YBR076W","ECM8","verified1","growth1","ECM8","verified2","growth2","TRUE","nonessential",1380,0
"YBR077C","YBR077C","verified1","growth1","YBR077C","verified2","growth2","TRUE","nonessential",1381,0
"YBR078W","ECM33","verified1","growth1","ECM33","verified2","growth2","TRUE","nonessential",1382,0
