"","orf","gene.x","Anno1","Growth1","gene.y","Anno2","Growth2","name.check","essenflag"
"266","YBR067C","TIP1","verified1","growth1","TIP1","verified2","growth2",TRUE,"nonessential"
"267","YBR068C","BAP2","verified1","growth1","BAP2","verified2","growth2",TRUE,"nonessential"
"268","YBR069C","TAT1","verified1","growth1","TAT1","verified2","growth2",TRUE,"nonessential"
"269","YBR070C","YBR070C","verified1","nogrowth1","YBR070C","verified2","nogrowth2",TRUE,"essential"
"270","YBR071W","YBR071W","verified1","growth1","YBR071W","verified2","growth2",TRUE,"nonessential"
"271","YBR072W","HSP26","verified1","growth1","HSP26","verified2","growth2",TRUE,"nonessential"
"272","YBR073W","RDH54","verified1","growth1","RDH54","verified2","growth2",TRUE,"nonessential"
"273","YBR074W","YBR074W","verified1","growth1","YBR074W","verified2","growth2",TRUE,"nonessential"
"274","YBR075W","YBR075W","verified1","growth1","YBR075W","verified2","growth2",TRUE,"nonessential"
"275","YBR076W","ECM8","verified1","growth1","ECM8","verified2","growth2",TRUE,"nonessential"
"276","YBR077C","YBR077C","verified1","growth1","YBR077C","verified2","growth2",TRUE,"nonessential"
"277","YBR078W","ECM33","verified1","growth1","ECM33","verified2","growth2",TRUE,"nonessential"
"278","YBR079C","RPG1","verified1","nogrowth1","RPG1","verified2","nogrowth2",TRUE,"essential"
"279","YBR080C","SEC18","verified1","nogrowth1","SEC18","verified2","nogrowth2",TRUE,"essential"
"280","YBR081C","spt7","verified1","nogrowth1","spt7","verified2","nogrowth2",TRUE,"essential"
"281","YBR082C","ubc4","verified1","nogrowth1","ubc4","verified2","nogrowth2",TRUE,"essential"
"282","YBR083W","tec1","verified1","growth1","tec1","verified2","growth2",TRUE,"nonessential"
"283","YBR084C-A","RPL19A","verified1","growth1","RPL19A","verified2","growth2",TRUE,"nonessential"
"284","YBR084W","mis1","verified1","growth1","mis1","verified2","growth2",TRUE,"nonessential"
