,ORF,Gene,RLS_Del_alpha,N,BY4742,N.1,p.value,RLS_Del_a,N.2,BY4741,N.3,p.value.1,RLS_Del.pooled,N.4,Pooled,N.5,p.value.2
325,YBR240C,THI2,32.5,-30,28.4,-30,0.34,0,0,0,0,0,32.5,-30,28.4,-30,3.40E-01
326,YHR167W,THP2,19,-5,22.4,-5,0.31,0,0,0,0,0,19,-5,22.4,-5,3.10E-01
327,YKR059W,TIF1,30.1,-75,26.7,-85,0.025,27.2,120,23.8,100,0.0066,28.3,195,25.1,185,1.eE-3
328,YDR105C,TMS1,23.9,-10,29.6,-10,0.15,0,0,0,0,0,23.9,-10,29.6,-10,1.50E-01
329,YER175C,TMT1,23.8,-65,25,-75,0.11,0,0,0,0,0,23.8,-65,25,-75,1.10E-01
330,YMR060C,TOM37,17.2,-5,28.8,-5,0.42,0,0,0,0,0,17.2,-5,28.8,-5,4.20E-01
331,YHR117W,TOM71,24.6,-5,22.4,-5,0.69,0,0,0,0,0,24.6,-5,22.4,-5,6.90E-01
332,YJR066W,TOR1,33.3,-630,25.3,-640,6e-40,34,-80,28.5,-100,0.00035,33.4,-710,25.7,-740,3.10E-42
333,YGR096W,TPC1,21.7,-25,28.4,-25,0.014,0,0,0,0,0,21.7,-25,28.4,-25,1.40E-02
334,YKR050W,TRK2,16.6,-5,29,-5,0.24,0,0,0,0,0,16.6,-5,29,-5,2.40E-01
