gene	orf	no. of probes	measurments	F-statistic	-log(p-value)	difference	YPD	YPDGE	YPE	YPL	YPG
gal10	YBR019C	4	42	4.88237	2.47782	0.10086	0.98167	0.97764	0.88081	0.95377	0.97915
gal1	YBR020W	5	55	1.09757	0.43253	0.03476	0.97304	0.94964	0.94968	0.98440	0.97160
fur4	YBR021W	4	44	1.14018	0.45129	0.02920	0.98095	0.96932	0.95548	0.96419	0.98468
YBR022W	YBR022W	2	22	3.23284	1.37448	0.02896	1.00325	1.00067	0.97429	0.97964	0.98517
chs3	YBR023C	2	22	3.29492	1.39988	0.07463	1.03576	1.04962	1.09817	1.11039	1.03680
SCO2	YBR024W	4	44	3.11022	1.56413	0.05193	1.03057	1.03207	1.07564	1.06749	1.02371
YBR025C	YBR025C	4	43	0.36694	0.08069	0.01366	0.99448	1.00584	0.99910	1.00814	0.99983
MRF1	YBR026C	3	27	0.17065	0.02195	0.01897	0.96921	0.97176	0.97954	0.97909	0.98818
YBR027C	YBR027C	4	44	0.06831	0.00389	0.00631	1.01356	1.01987	1.01402	1.01961	1.01386
YBR028C	YBR028C	4	44	2.52950	1.23757	0.03594	1.00749	1.01276	1.02955	1.03582	0.99987
CDS1	YBR029C	4	44	3.26625	1.65063	0.04542	1.01057	1.01785	1.04675	1.04555	1.00133
YBR030W	YBR030W	2	22	2.47003	1.04851	0.04010	0.99683	0.99887	0.95877	0.97897	0.98942
RPL4A	YBR031W	4	44	3.61346	1.84094	0.05966	0.96676	0.96802	0.90836	0.91608	0.96235
YBR032W	YBR032W	2	22	1.71407	0.70074	0.02011	1.00016	1.00857	0.98847	1.00295	0.99127
YBR033W	YBR033W	4	44	3.83887	1.96278	0.05624	1.02991	1.03943	1.07325	1.08147	1.02523
HMT1	YBR034C	2	22	1.60556	0.64913	0.02826	1.02530	1.03879	1.03259	1.04724	1.01898
PDX3	YBR035C	2	22	0.38475	0.08822	0.03218	1.01791	1.03417	1.03371	1.04850	1.01632
CSG2	YBR036C	4	44	1.07860	0.41801	0.04095	1.00321	1.02136	1.03545	1.04416	1.02483
SCO1	YBR037C	2	22	1.90599	0.79113	0.05957	0.97236	0.97277	0.91320	0.94101	0.96338
CHS2	YBR038W	2	22	5.73808	2.28043	0.06731	1.00737	1.01952	1.07468	1.06571	1.03220
ATP3	YBR039W	3	33	1.16366	0.45532	0.04470	1.01483	0.99609	0.99285	1.03251	0.98781
FIG1	YBR040W	2	22	2.38570	1.01089	0.02635	1.01398	1.01482	0.99527	1.01268	0.98848
FAT1	YBR041W	1	11	59.32526	3.67584	0.04811	1.02180	1.03439	1.06540	1.06991	1.02827
YBR042C	YBR042C	4	44	0.06493	0.00353	0.01278	0.99457	0.99816	0.98621	0.99383	0.99899
YBR043C	YBR043C	2	22	1.73858	0.71235	0.02861	1.01177	1.02165	1.00321	1.01250	0.99305
TCM62	YBR044C	4	44	0.17052	0.02136	0.00928	0.98173	0.98366	0.97555	0.97445	0.98373
